Job Title,Company,Location,Job Description,Job Posting Time,Job URL
Data Engineer-Hadoop/sql/adb,Wipro,"Bengaluru, Karnataka, India",".we are looking for sr.Dev or lead with combination [Hadoop + SQL +ADF+ADB].
Below is the detailed J...",2025-02-11,https://in.linkedin.com/jobs/view/data-engineer-hadoop-sql-adb-at-wipro-4150373342?position=29&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=GnU3NMivOYx8aG8XdVoPlA%3D%3D
"Data Engineer, Amazon",Amazon,"Bengaluru, Karnataka, India","Description

Amazon’s Consumer Payments organization is seeking a highly quantitative, experienced B...",2025-02-15,https://in.linkedin.com/jobs/view/data-engineer-amazon-at-amazon-4128205944?position=30&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=7LOYSXv04uOlYAr88NNpcg%3D%3D
Software Engineer (Data Engineering),Microsoft,"Haryana, India","Microsoft is a company where passionate innovators come to collaborate, envision what can be and tak...",2025-02-26,https://in.linkedin.com/jobs/view/software-engineer-data-engineering-at-microsoft-4144382203?position=31&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=9wrGeslkeNvbWaMdGqPBJg%3D%3D
Software Engineer (Data Engineering),Microsoft,"Karnataka, India","Microsoft is a company where passionate innovators come to collaborate, envision what can be and tak...",2025-02-26,https://in.linkedin.com/jobs/view/software-engineer-data-engineering-at-microsoft-4144379661?position=32&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=jaojCA%2B0lA3YL86oA4qkvw%3D%3D
Software Engineer (Data Engineering),Microsoft,"Maharashtra, India","Microsoft is a company where passionate innovators come to collaborate, envision what can be and tak...",2025-02-27,https://in.linkedin.com/jobs/view/software-engineer-data-engineering-at-microsoft-4144380541?position=33&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=1cUdD12lHpuoFC08HJ%2FbcQ%3D%3D
Data Engineer (SDE-1),Games24x7,"Bengaluru, Karnataka, India","Introduction

Games24x7 is India’s leading and most valuable multi-gaming unicorn. We’re a full-stac...",2025-02-10,https://in.linkedin.com/jobs/view/data-engineer-sde-1-at-games24x7-4102860949?position=34&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=vLmU4LHYFJZY8LrBcFPuNw%3D%3D
Data Engineer,Epsilon,"Bengaluru, Karnataka, India","Company Description:
When you’re one of us, you get to run with the best. For decades, we’ve been he...",2025-02-20,https://in.linkedin.com/jobs/view/data-engineer-at-epsilon-4159496090?position=35&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=mUp6866d0H3ItxAUdHwalA%3D%3D
Data Engineer,Wipro,"Bengaluru, Karnataka, India",The ideal candidate will be responsible for developing high-quality applications. They will also be ...,2025-02-26,https://in.linkedin.com/jobs/view/data-engineer-at-wipro-4166339146?position=36&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=hNJI1DcHNVuxcUeYFwx65g%3D%3D
Data Engineer,Godrej Industries Group,"Mumbai, Maharashtra, India","Sr. Executive / Assistant Manager Data Engineer

Godrej Agrovet

Mumbai, Maharashtra, India

Sr. Exe...",2025-02-27,https://in.linkedin.com/jobs/view/data-engineer-at-godrej-industries-group-4169718261?position=37&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=dLvgxmQmcIyJtXYVmkBKnQ%3D%3D
Data Engineer Associate [T500-15090],FedEx ACC,"Hyderabad, Telangana, India","About FedEx
Located in Hyderabad, India, FedEx ACC India serves as a strategic technology division f...",2025-02-12,https://in.linkedin.com/jobs/view/data-engineer-associate-t500-15090-at-fedex-acc-4079959586?position=40&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=JO%2BY5G2DfNIkLaAXf8i4nQ%3D%3D
Data Engineer,Atlassian,"Bengaluru, Karnataka, India","Overview

Working at Atlassian

Atlassians can choose where they work – whether in an office, from h...",2025-02-19,https://in.linkedin.com/jobs/view/data-engineer-at-atlassian-4153475324?position=41&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=y%2BIFVqGzUWlHS0uqgpr%2FzQ%3D%3D
"IN_Senior Associate_Data Engineer(PySpark,Python)_Data & Analytics_Advisory_Mumbai",PwC India,"Mumbai, Maharashtra, India","Line of Service

Advisory

Industry/Sector

Not Applicable



Data, Analytics & AI



Senior Associa...",2025-02-15,https://in.linkedin.com/jobs/view/in-senior-associate-data-engineer-pyspark-python-data-analytics-advisory-mumbai-at-pwc-india-4130347996?position=42&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=GEssc9HKE6eAGA%2Bc1h9WsQ%3D%3D
